name,voice_model,bio,bio_url,advanced_voice_model,skyrim_voice_folder,race,gender,species,ref_id,base_id,author,voice_accent,note
Gjuk,MaleDrunk,"Gjuk is a Nord warrior in Skyrim who works in the Blood Horker pirate clan under captain Stig Salt-Plank.
Gjuk can be found in the Windpeak Inn in Dawnstar accompanying his captain and the rest of the crew.",/wiki/Gjuk,NordMaleDrunk,MaleDrunk,Nord,Male,Human,05226C,52269,Bethesda,en,
Gloth,MaleCommoner,Gloth is a Nord farmer who lives and works at Pelagia Farm.,/wiki/Gloth_(Skyrim),NordMaleCommoner,MaleCommoner,Nord,Male,Human,02C929,028DD6,Bethesda,en,
Glover Mallory,MaleBrute,"Glover Mallory, a Breton man, is a blacksmith living in Raven Rock, on the island of Solstheim. He is the father of Sapphire, brother of Delvin Mallory, and a member of the Thieves Guild.
He is found at the Blacksmith's shop upon first arriving at Raven Rock. Just like the other villagers of Raven Rock, he can also be found at the Earth Stone working on it and worshiping at it. When he does, he acts and sounds like he has been indoctrinated.
Glover will give a quest to retrieve his Ancient Nordic Pickaxe from Crescius Caerellius, after having it stolen from him, and also give it as a reward for the quest, claiming he has no use for it. It is also implied that he stole the pickaxe from the Skaal Village.
He gives the quest to retrieve the Bonemold Formula from Esmond Tyne in Castle Karstaag Caverns, assuming the player is a member of the Thieves Guild.
After the completion of this quest he allows access to his basement, which is filled with rare items including the Blackguard's Armor and a Thief Cache. There is a note to Sapphire in his basement, which reveals that he is Sapphire's father. It is also worth noting that, according to the Bonemold Formula, he has a younger sister.
If you talk to Sapphire in The Ragged Flagon - Cistern, after taking the letter, there will be an option to give her the letter. If you do give it to her, she will reward you with an Exquisite Sapphire; a unique item.
Glover Mallory can be a potential recipient of Geldis Sadri's sujamma that he asks of the player to give out to the people of Raven Rock.
",/wiki/Glover_Mallory,BretonMaleBrute,MaleBrute,Breton,Male,Human,01828F,01828E,Bethesda,fr,Shawn- started
Golldir,MaleNord,"Golldir is a Nord who can be found at the entrance to Hillgrund's Tomb.
When he was a child, his father locked him within the ancient tomb for three days, during which time he survived by eating the food given to his ancestors as offerings.
He asks for help in killing a necromancer, Vals Veran, who has entered the tomb and defiled the bodies of his ancestors. He asks the Dragonborn to find his aunt, Agna, who ventured further into the tomb in Golldir's stead.
As the Dragonborn and Golldir make their way through the tomb, Agna is discovered, deceased. He will become slightly annoyed if the Dragonborn takes treasures from the tomb, but allows it, as the Dragonborn is helping him stop Vals Veran.
After clearing the tomb, the Dragonborn ends up in a chamber with Vals Veran, and his draugr army. If the Dragonborn is successful in protecting Golldir, he rewards them with coins and the key to the Hillgrund chest. Golldir returns to his aunt and will be ready to aid the Dragonborn as a follower, as long as he survives the quest with the Dragonborn.
Vals ""The dead should be made to serve the living, not the other way around!"" Golldir ""I'll return my ancestors to Sovngarde, and you with them!"" Vals ""Sovngarde is a myth, you s'wit! And now you can join your ancestors in service to me.""
Golldir is a warrior who specializes in heavy armor, block, and one-handed weapons (seemingly so since he starts off with a one handed axe when one first recruits him). He will use two-handed weapons as well, although his skill level is lower than his one-handed. He can also be recruited into the Blades.
If he can't be asked to follow, the Dragonborn should leave the tomb and he will be standing outside. The Dragonborn can then ask him to join.
If the Dragonborn steals a horse, Golldir will be dismissed due to his morality being set to ""no stealing,"" however the Dragonborn can still steal objects without this happening.",/wiki/Golldir,NordMale,MaleNord,Nord,Male,Human,0A7360,019FE8,Bethesda,en,
Gonnar Oath-Giver,MaleNordCommander,"Gonnar Oath-Giver is a Nord Stormcloak captain.
He is the Stormcloak commander of The Rift and can be found in Mistveil Keep in Riften, unless the Dragonborn takes Riften for the Empire during the Civil War, after which he can be found commanding the Rift Stormcloak Camp near the Rift Watchtower.",/wiki/Gonnar_Oath-Giver,NordMaleCommander,MaleNordCommander,Nord,Male,Human,077DDB,08455B,Bethesda,en,
Gorm,MaleNord,"Gorm is a Nord in Skyrim who is the bodyguard of Jarl Idgrod Ravencrone of Morthal.
If Gorm is spoken to at the Moorside Inn, without the Jarl nearby, he will ask for assistance in his plan to overthrow Idgrod. He will then give the Dragonborn Gorm's Letter to deliver to Captain Aldis in Solitude.
Doing this does not provide a quest entry in the journal, and delivering the letter does not result in any reward higher than 20 gold. It does, however, count toward helping the citizens of Morthal, satisfying one of Jarl Idgrod's requirements for becoming a Thane.
If the Dragonborn sides with the Stormcloaks during the Civil War or trades Hjaalmarch during ""Season Unending,"" Gorm will relocate to the Blue Palace in Solitude alongside Idgrod and the other Imperial supporters.",/wiki/Gorm_(Skyrim),NordMale,MaleNord,Nord,Male,Human,01AA69,0135EA,Bethesda,en,
Gormlaith Golden-Hilt,FemaleEvenToned,"Gormlaith Golden-Hilt was an ancient Nord heroine who helped overthrow the Dragons during the Dragon War in ancient times. She is famed for single-handedly slaying four dragons in one day. She can be seen on the Throat of the World and in Sovngarde.
She helps the Dragonborn kill Alduin, along with Felldir the Old and Hakon One-Eye. She was against using the Elder Scrolls to defeat Alduin. Alduin killed her, atop the Throat of the World, after which Felldir the Old had little choice but to use the Elder Scroll, which caused a Time Wound to be created.
Gormlaith can be summoned to aid the Dragonborn with the Call of Valor shout. She wears a nearly-complete set of Steel Plate Armor without its respective helmet, and is armed with an Ancient Nord Sword, which she uses in battle.",/wiki/Gormlaith_Golden-Hilt,NordFemaleEvenToned,SpecialFemaleUniqueGormlaith,Nord,Female,Human,0CD9F8,44236,Bethesda,en,"Shawn - not started. Unique voice, but no voice model currently available. Assigned as Female Even Toned for now. The Female Nord voice model from Oblivion (and Morrowind) sounds close, as they are both voiced by Lynda Carter, so feel free to switch to that if you know how"
Gort,MaleEvenToned,"Gort is a Nord ferryman. He and his rowboat are located at the Windhelm docks.
Gort wears generic clothes, boots, and carries an Iron War Axe.",/wiki/Gort,NordMaleEvenToned,MaleEvenToned,Nord,Male,Human,16856,01684F,Bethesda,en,
Gralnach,MaleChild,"Gralnach is a Nord child who lives at Heartwood Mill with his mother Grosta, located in The Rift. His father is Leifnarr, who has gone missing.
Upon meeting him, he will ask the Dragonborn to play a game with him, either Tag or Hide-and-Seek.
If his mother dies, he will say, ""I can't believe my mother's gone. Now what'll I do?"". In turn, he will be sent to Honorhall Orphanage after her death, after which he will be available for adoption.",/wiki/Gralnach,NordMaleChild,MaleChild,Nord,Male,Human,190000000000,019C01,Bethesda,en,
Gregor,MaleNord,"Gregor is a Nord warrior who is appointed housecarl upon becoming Thane of the Pale.
If the Dragonborn chooses not to have him as a follower at first approach in The White Hall, Gregor will go directly to Heljarchen Hall if the Dragonborn has purchased the land and built a house. If they have not bought a piece of land and built a house, he will make The White Hall his home. He may wander the grounds of Heljarchen Hall, often going behind the large rock formation nearby.
Gregor can be asked to become a steward for a homestead in Hearthfire.
Gregor can be married via special dialogue option while Dragonborn wears Amulet of Mara.
Gregor can become part of the Blades if Dragonborn talks to Delphine while having Gregor as a follower.",/wiki/Gregor,NordMale,MaleNord,Nord,Male,Human,00521F,00521E,Bethesda,en,
Grelka,FemaleCondescending,"Grelka, a Nord woman, lives in Riften. She works as an armor merchant at her stall in the Riften Grand Plaza marketplace in the center of the city. She also sells weapons and other miscellaneous items, but she is more discrete about her sale of them. She is also an Expert-level trainer in the use of Light Armor. At night, she sleeps at Haelga's Bunkhouse, a lodging facility where many of the city’s workers live and sleep. 
Grelka usually wears a set of leather armor, but doesn’t wear a helmet. She carries a dagger with her for self-defense. Most of the armor she sells is Light Armor. If a customer is solely interested in the buying and repair of heavy armor, Grelka will refer them to Balimund, the blacksmith who operates the Scorched Hammer smithy.
Grelka has two brothers named Solaf and Bolund, who both live to the west in the smaller city of Falkreath.
Grelka is not originally from Skyrim, and wants to leave Skyrim due to the political turmoil, Civil War, and the reappearance of the dragons. She sells goods in Riften, hoping to earn enough money to eventually leave Skyrim.
Grelka is prejudiced against Argonians, as is evident in her treatment of Madesi. In the evenings, before he goes to sleep in Beggar's Row, Madesi goes to the Bunkhouse, where he is often harassed by Grelka; she calls him ""green-skin"" and mocks his inability to shut his mouth when he chews, due to his skull structure. 
When she’s not working at the market, Grelka spends a fair amount of time in The Bee and Barb, a popular inn in the center of the city which is operated by an Argonian woman named Keerava.
Grelka will be willing to marry the player if she considers them to be her friend. Grelka will consider the player to be her friend if they have done a reasonable amount of business with her, or if they have assisted Grelka in the delivery or recovery of one of Grelka’s shipments of goods.
If asked about the Ratway, the ruined sewer tunnels beneath the city, Grelka will advise the player to stay out of the Ratway. Grelka is not fond of the Thieves Guild, which makes its home in the Ratway. A Nord woman named Mjoll sometimes comes by Grelka’s stall in the marketplace and accuses Grelka of working with the Thieves Guild due to information told to Mjoll by a man named Aerin (Mjoll’s friend), but Grelka will deny any affiliation or business with the Thieves Guild.
Grelka sometimes deals in illegal or stolen goods. She sometimes handles weapon shipments for Maven Black-Briar, the matriarch of the most powerful family in Riften.
A prominent and wealthy fisherman named Bolli owes Grelka money, and Grelka will refer to Bolli as a deadbeat. Grelka will also openly state that Bolli’s Bosmer wife Nivenor married Bolli for his money.
Grelka isn’t fond of Ulfric Stormcloak because of the turmoil that the Stormcloaks and the Skyrim Civil War have caused.
Grelka isn’t interested in the divines or religion, and scoffs at people who visit the Temple of Mara in Riften. If a beggar asks her for money, she will say “go away” or “shove off”. 
Quotes:
During the day: ""Looking to stay alive? Why take a chance?""
During the day: ""Buy some armor and live to tell about it!""
During the day: ""Protect yourself right... buy armor from Grelka.""
During the day: ""You going to buy something or just here for training? Otherwise, move on.""
During the day: ""You gonna stare all day or buy some armor?""
During the day: ""Come on, come on. The sooner you buy, the sooner I can get drunk.""
If someone complains about her rudeness: ""Look, I've moved all over Skyrim selling these bits of junk and I'm barely scraping by. I'm not out to win friends and I could care less if you're happy about your purchase or not. I just need the coin. The sooner I get out of Skyrim the better.""
“The war is tearing the land apart, the dragons have returned seeking who knows what... Skyrim is going nowhere fast. If I were you, I'd pack up and get out of here before you end up in one of those burial cairns.""
“I've got deadbeats who don't pay me, the city guard looking over my shoulder and Maven Black-Briar breathing down my neck.""
When speaking to an Argonian: “You should crawl back into whatever swamp you came from, lizard man.""",/wiki/Grelka,NordFemaleCondescending,FemaleCondescending,Nord,Female,Human,04E0B3,0136C5,Bethesda,en,Shawn - doneish
Grelod the Kind,FemaleOldGrumpy,"Grelod the Kind is an elderly Nord woman and the headmistress of the Honorhall Orphanage in Riften. Contrary to her name, she has a reputation for being an utterly cruel and heartless woman. One of her charges, Aventus Aretino, managed to escape the orphanage. 
Grelod is frequently cruel and abusive towards the children in her care. Not only does she beat them and refuse to allow their adoption, but she berates them verbally as well. Listening to Grelod's conversation with the orphans reveals she has extra beatings planned for any who ""shirk their duties."" She also states that they will never be adopted because nobody wants them, and openly calls them ""riff-raff"" to their faces. 
The children are not the only ones in the orphanage who suffer from Grelod's cruelty. She also yells at her assistant, Constance Michel, from time to time, issuing mean-spirited complaints about the children and orders to deal with them. According to Constance, the people of Riften are well aware of Grelod's cruel nature; they call her ""Grelod the Kind"" out of irony. 
Grelod generally wants nothing to do with the player. Any attempts to speak to her will be roundly refused, as she is hostile to everyone. 
If the player tries to give Grelod one of Dinya Balu's The Warmth of Mara pamphlets, Grelod will flatly turn them down, saying ""Unless Mara wishes to come down and help me with these urchins, I don't really give a damn about her blessings”.
Grelod will not be intimidated no matter what is said to her.
It is not possible to adopt children from the orphanage while Grelod the Kind is in charge there, as she forbids adoption.
Quotes:
When talking to the children of the orphanage: ""Those who shirk their duties will get an extra beating. Do I make myself clear? And one more thing! I will hear no more talk of adoptions! None of you riff-raff is getting adopted. Nobody needs you, nobody wants you. That, my darlings, is why you're here. Why you'll always be here, until you come of age and get thrown into that wide, horrible world. Now scurry off, my little guttersnipes.""",/wiki/Grelod_the_Kind,NordFemaleOldGrumpy,FemaleOldGrumpy,Nord,Female,Human,019DE4,01335E,Bethesda,en,Shawn - doneish
Greta,FemaleCommoner,"Greta is a Nord citizen who resides in Solitude. She is the wife of Addvar, the mother of Svari, and was the sister of Roggvir, until he was executed for aiding Ulfric Stormcloak's escape after he killed High King Torygg. She believes that Captain Aldis understood Roggvir's actions, and took solace in the fact it was he who presided over the execution and no one else, also stating that she would not have been able to stay in Solitude had it not been for him.
Upon first entering Solitude, she can be found to the right, in the crowd gathered to watch the execution of her brother, Roggvir. She can also be found in Addvar's House, in Solitude, as well as wandering around the city.
Talking to Svari, her daughter, will reveal that Greta is upset about the death of Roggvir and has stopped attending the Temple of the Divines. If then spoken to about this, Greta will tell the Dragonborn that she wants to return to the temple, but is unwilling to do so without the Amulet of Talos that her brother wore. She tasks the Dragonborn with retrieving it from Roggvir's body that now resides in Solitude's catacombs. The amulet is in the stone coffin to the left of the entrance in the second alcove.
Hi. Svari asked me to talk to you. ""She did, did she? She's going to get a sit down later.""",/wiki/Greta,NordFemaleCommoner,FemaleCommoner,Nord,Female,Human,01A637,13283,Bethesda,en,
Griefstricken Chef,MaleEvenTonedAccented,"The Griefstricken Chef is a Nord contractor for the quest ""The Dark Brotherhood Forever."" He resides in the Windpeak Inn in Dawnstar.
He will give a leveled sum of gold to the Dragonborn to assassinate a target, then wander through the inn until the target has been killed.",/wiki/Griefstricken_Chef,NordMaleEvenTonedAccented,MaleEvenTonedAccented,Nord,Male,Human,0A031E,087B90,Bethesda,en,
Grim Shieldmaiden,FemaleEvenToned,Grim Shieldmaiden is one of the ten recurring targets for the Dark Brotherhood. She will appear in Markarth.,/wiki/Grim_Shieldmaiden,NordFemaleEvenToned,FemaleEvenToned,Nord,Female,Human,0A031B,087B9B,Bethesda,en,
Grimvar Cruel-Sea,MaleChild,"Grimvar Cruel-Sea is a Nord child inhabiting Windhelm.
He lives in House of Clan Cruel-Sea in Windhelm. He is the son of Torsten Cruel-Sea and Hillevi Cruel-Sea. He had a sister, Fjotli Cruel-Sea, before she was killed.
The Dragonborn can play tag with Grimvar. If talked to, he may ask to play a game (either tag or hide and seek). It does not earn any rewards, though.
When visiting Windhelm for the first time, Grimvar and his nanny, Idesa Sadri, are talking about Aventus Aretino and his performing the Black Sacrament in his home. Idesa quotes that Aventus Aretino is a strange child and she is the only friend Grimvar needs.
Grimvar says his father wants him to be a farmer or a sailor, but he does not want to be either of those and instead wants to be a warrior.",/wiki/Grimvar_Cruel-Sea,NordMaleChild,MaleChild,Nord,Male,Human,01B12D,14133,Bethesda,en,
Grisvar the Unlucky,MaleCoward,"Grisvar the Unlucky is a Nord imprisoned in Cidhna Mine.
Grisvar is a prisoner of Cidhna Mine in Markarth who has been in and out of the prison numerous times for stealing, and is now imprisoned for life.
After the Dragonborn speaks to Uraccen, Grisvar offers them a shiv in return for a bottle of Skooma, which can be pickpocketed from or beaten out of several others in the mine. Alternatively, the Dragonborn can persuade Duach to give them his supply of Skooma. The shiv can be used to bribe Borkul the Beast into opening the door to Madanach's cell.
After speaking to Madanach, the Dragonborn is instructed to kill Grisvar as he has outlived his usefulness to Madanach.",/wiki/Grisvar_the_Unlucky,NordMaleCoward,MaleCoward,Nord,Male,Human,19917,01339B,Bethesda,en,
Grogmar gro-Burzag,MaleOrc,"Grogmar gro-Burzag is an Orsimer miner who resides at Odfel's House in the town of Shor's Stone. He works during the day in the Redbelly Mine.
He is temporarily staying with Odfel, a fellow miner, because his own house has not been built yet.
If the quest ""Mine or Yours"" is completed, Grogmar will send word that the Dragonborn is a friend of the Orcs, and thus grant them access to the Orc Strongholds scattered throughout Skyrim.
Grogmar: ""I've been cracking rock ever since I've been able to hold a pickaxe and I'm telling you, this mine is drying up."" Grogmar: ""What makes you so sure? What if I'm right?"" Filnjar: ""I know there's ore still in there, I can smell it. You think you're right, you can pack up and leave any time you like.""",/wiki/Grogmar_gro-Burzag,OrsimerMale,MaleOrc,Orsimer,Male,Elf,019E0E,0136C6,Bethesda,ru,
Grosta,FemaleNord,"Grosta is a Nord who owns and operates the Heartwood Mill.
She lived there with her husband, Leifnarr, and son, Gralnach, until Leifnarr disappeared. She seems to think that her husband left to be with another woman and is very curt when referring to him, though she still wants to find out what has happened to him.
She is generally warm towards the Dragonborn, but ultimately comes off as hardened by the disappearance of her husband. She expresses little discernible emotion as she matter of factually states that the mill will go under in a few seasons without him.
The Dragonborn is sent to locate her missing husband, Leifnarr, who she says was headed towards Broken Helm Hollow. Exploring this hollow reveals Leifnarr's fate - he died honorably.",/wiki/Grosta_(Skyrim),NordFemale,FemaleNord,Nord,Female,Human,019E0F,019C00,Bethesda,en,
Grushnag,MaleNord,"Grushnag is an Orsimer in Skyrim. He wears a set of Scaled Horn Armor, Scaled Bracers and a pair of Scaled Boots.
",/wiki/Grushnag_(Skyrim),NordMale,MaleNord,Nord,Male,Human,,01B1CD,Bethesda,en,
Guardian Saerek,Riekling,"Guardian Saerek is a draugr who can be found inside Ragnvald Crypts.
He carries one of the keys reqiored to unlock the sarcophagus of Dragon Priest Otar the Mad. He can be summoned by picking up his skull from the pedestral in the middle of the chamber.",/wiki/Guardian_Saerek,NordMale,CrDraugrVoice,Nord,Male,Human,03725A,03725E,Bethesda,en,Shawn - started. Feel free to change voice model.
Gul,FemaleOrc,Gul is an Orsimer miner who works in the Mor Khazgur Mine in the Orc stronghold of Mor Khazgur in Haafingar hold.,/wiki/Gul,OrsimerFemale,FemaleOrc,Orsimer,Female,Elf,0C78CB,0C78CA,Bethesda,ru,
Gularzob,MaleOrc,"Gularzob is an Orsimer who lives in the Orc stronghold of Largashbur.
Despite the problems the tribe is having, Gularzob is loyal to Chief Yamarz. When asked, he will state that he believes that Yamarz will guide them through the ""dark times.""
After the death of Chief Yamarz, Gularzob becomes the chief of Largashbur. He is confused as to why he has been made Chieftain of Largashbur, and acknowledges that just because Malacath chose him to be Chief, he is still not fully ready to take on the role.",/wiki/Gularzob,OrsimerMale,MaleOrc,Orsimer,Male,Elf,1.9E+022,1.9E+021,Bethesda,ru,
Gulum-Ei,MaleArgonian,"Gulum-Ei is an Argonian dockworker who works in the East Empire Company Warehouse and helps to process all of the shipments of goods that go in and out of Solitude. He can be found in The Winking Skeever during the day to fence stolen goods.
Before the Thieves Guild questline, he is quite cold, and the only words he says to the Dragonborn are, ""I have no business with you. Leave me."", ""Go away. I have more important things on my mind right now."" and ""I don't like strangers...""
Being of a dubious nature, Gulum-Ei has first dibs on of some of the finest goods to grace Skyrim's shores and pays the Thieves Guild a cut of whatever he lifts. Though not officially part of the Guild, their arrangement has proven to be lucrative enough that the Guild allows Gulum-Ei to operate independently. However, as of late, Gulum-Ei's shipments have begun to dwindle, and the Guild has become suspicious.
Recent information leads Mercer Frey to believe Gulum-Ei has been acting as a go between for the Guild's ""anonymous adversary."" Upon the speaking to him, Gulum-Ei will act oblivious, but his tongue can be loosened up if he is bribed or persuaded. However, even then, he will only say that the woman he is dealing with has a grudge against Mercer, leaving towards the East Empire Company Warehouse afterwards. After following Gulum-Ei deep into the warehouse, the Dragonborn confronts him, and Gulum-Ei confesses the woman's name: Karliah, the previous guildmaster's murderer and the person after Mercer. Alternatively, he can be killed before the confrontation, resulting in the Dragonborn getting the information necessary in a nearby chest that has Gulum-Ei's Confession and the Goldenglow Bill of Sale.",/wiki/Gulum-Ei,ArgonianMale,MaleArgonian,Argonian,Male,Argonian,0198B7,13284,Bethesda,tr,
Gunding,MaleCommonerAccented,Gunding is a Nord miner working at the Whistling Mine. He can often be found sleeping near the entrance or mining the iron ore veins.,/wiki/Gunding,NordMaleCommonerAccented,MaleCommonerAccented,Nord,Male,Human,0AE77C,0AE77B,Bethesda,en,
Gunmar,MaleNord,"Gunmar is a Nord hunter who is a master trainer in Smithing. He is an old friend of Isran, who mentions that he hates vampires almost as much as Isran himself does.
He looks out for the player and will often comment that morality is very important, as it is what separates humans from vampires. Like Isran, he is honorable, though less staunch, more relaxed and more open-minded. Upon first meeting him he exclaims, ""By the Eight,"" suggesting he may have abandoned or rejected Talos worship. His family was killed by vampires, much like Isran's, and he chooses to defend others from vampire attacks, rather than seek revenge, always keeping the same message running through his mind: to never let another human being face the same fate he did.
Once a member of the Dawnguard he will move to Fort Dawnguard, trading in his default armor for the Dawnguard armor. There he will offer a variety of services.
Quotes:
After the player completes one of Gunmar's vampire slaying missions: ""Very good. That's one less monster we need to worry about. Though there's plenty more where he came from. Be ever watchful.""",/wiki/Gunmar,NordMale,DLC1MaleUniqueGunmar,Nord,Male,Human,3477,00336C,Bethesda,en,No voice model
Gunnar Stone-Eye,MaleOldGrumpy,"Gunnar Stone-Eye is an elderly man who lived in Helgen before the town was just recently destroyed by a terrible black dragon. Gunnar has a glass eye.
During the dragon attack, Gunnar helped a young boy named Haming escape the town's destruction. Unfortunately Haming's mother Matlara and father Torolf were both killed during the dragon attack.",/wiki/Gunnar_Stone-Eye,ElderMaleOldGrumpy,MaleOldGrumpy,Nord,Male,Human,0AAF96,13643,Bethesda,en,Shawn - done
Guthrum,MaleOldGrumpy,Guthrum is a Nord sailor and ranger on the ship The Sea Squall in Dawnstar. He claims how he is starting to get too old for sailing and wants to enjoy the very little time that he has left on the sea.,/wiki/Guthrum,NordMaleOldGrumpy,MaleOldGrumpy,Nord,Male,Human,09424A,13285,Bethesda,en,
Gwendolyn,FemaleCommoner,"Gwendolyn is a Nord farmhand who works for the Battle-Born clan.
Gwendolyn resides at Battle-Born Farm. She works the fields with Alfhild Battle-Born during the day and retreats to her living quarters during the evening.",/wiki/Gwendolyn,NordFemaleCommoner,FemaleCommoner,Nord,Female,Human,02C931,02C930,Bethesda,en,
Gwilin,MaleYoungEager,"Gwilin is a Bosmer citizen living in Ivarstead.
He is the apprentice of Temba Wide-Arm. He is extremely optimistic no matter the circumstance he is in. By day he can be found chopping wood near the Vilemyr Inn, the place where he sleeps at night.
Gwilin: ""On your way up the 7,000 Steps again, Klimmek?"" Klimmek: ""Not today. I'm just not ready to make the climb to High Hrothgar. The path isn't safe."" Gwilin: ""Aren't the Greybeards expecting some supplies?"" Klimmek: ""Honestly, I'm not certain. I've yet to be allowed into the monastery. Perhaps one day.""",/wiki/Gwilin,BosmerMaleYoungEager,MaleYoungEager,Bosmer,Male,Elf,065AB2,0658D4,Bethesda,hu,
Hadring,MaleNord,"Hadring is a Nord in Skyrim who owns the Nightgate Inn in The Pale.
Being a typical Nord, he is rather ignorant in some respects, with a fear of magic and practitioners of magic in and outside the College of Winterhold.
The inn was handed down through Hadring's family, all the way from his great grandfather, according to him.
Hadring provides with information about one of his customers, who is the target of assassination.
Hadring may tell the Dragonborn where the Stormcloak Courier is if one successfully persuades/intimidates him, or pays him .",/wiki/Hadring,NordMale,MaleNord,Nord,Male,Human,02005A,13627,Bethesda,en,
Hadvar,Hadvar,"Hadvar, a Nord man, is a soldier serving in the Imperial Legion. He hails from the town of Riverwood.
Hadvar thoroughly supports the Empire in regards to the civil war. He thus holds a strong resentment for the Stormcloaks, whom he sees as traitors, and often engages in combat with them. Hadvar is a generally kind-hearted person. He reflects on the war and killing of Stormcloaks, expressing that he is haunted by the memory of the men he’s killed in war. Hadvar fights for what he believes is good for Skyrim, and firmly believes that it is part of the Empire. He has a very calm voice and speaks in a respectful manner.
He has light brown hair and gray-blue eyes. He is originally clad in studded Imperial light armor, though he will switch to a set of Imperial heavy armor if he survives the Helgen incident. In battle, he normally wields an Imperial sword and an iron shield, and also uses a long bow supplemented with iron arrows when the need arises. He also carries three minor healing potions.
Recently, Hadvar was one of the soldiers who escorted a group of Stormcloak prisoners to Helgen, after ambushing Ulfric Stormcloak and his Stormcloak force at Darkwater Crossing in the south of Eastmarch. Before Ulfric and the majority of Stormcloak rebel prisoners could be executed under the order of General Tullius, a great and terrible black dragon interrupted the execution process, breathing fire and raining down meteors from the sky which devastated and eventually destroyed Helgen. This incidentally saved many of the Stormcloaks (including Ulfric) by allowing them to escape from the Imperials during the chaos created by the dragon attack.
Hadvar has known Ralof since they were children. Ralof is the sister of Gerdur. Gerdur and her husband Hod own and operate Riverwood’s lumber mill. Because this lumber mill is focal to Riverwood's prosperity, Gerdur and Hod are considered the town's leaders. Ralof unfortunately chose the opposing side in the Skyrim civil war conflict and has become a Stormcloak rebel soldier. Ralof was one of the soldiers set to be executed at Helgen, until the dragon attacked.
If the player chooses to follow Hadvar instead of Ralof during the chaos of the dragon attack at Helgen, Hadvar will accompany the player through the caves under Helgen’s keep. If Hadvar and the player survive and escape Helgen, Hadvar will then travel with the player to Riverwood, a relatively short distance north of Helgen. Once arriving in Riverwood, Hadvar will then meet up with his uncle Alvor, and will introduce the player to Alvor and his family as the person who saved his life at Helgen. Alvor is the town’s blacksmith, and has a wife named Sigrid and a young daughter named Dorthe. Hadvar will then spend some time recovering at Alvor’s house before leaving to report to his superiors in the Legion, and Alvor will also welcome the player to stay at his house as long as necessary. Hadvar will try to convince the player of the righteousness of the Imperial Legion’s aims of keeping Skyrim part of the Empire, and will invite them to Solitude in order to join the Legion.
If the player joins the Imperial Legion, Hadvar will assist the player in various missions for the Legion during the course of the civil war against the Stormcloaks. Many of these missions will be led by Legate RIkke, a Nord woman who serves as General Tullius’ immediate subordinate. One of these missions will involve retrieving the legendary Jagged Crown from the ancient Nordic crypt of Korvanjund.
Hadvar will be among the Imperial Legionnaires and Whiterun Hold guards under Rikke as they protect Whiterun from Stormcloak soldiers until the Stormcloak assault has been thwarted.
At some point in the civil war, Hadvar may lead Imperial Legionnaires in an attack on Fort Kastav, a major fort in the south of Winterhold, which is holding several Legionnaires inside its prison as prisoners-of-war (POWs).
Quotes:
""I can't remember the last time I visited home. Think I've forgotten what a proper bed looks like, let alone feels like.""
""Ever get the impression Rikke's not always sure what side she's on? I'm not doubting her loyalty. Just, she seems rather sympathetic to the rebels.""
""Ever wonder if maybe we should call a truce with the Stormcloaks, join forces for just a little while, and take care of some of these dragons?""
“You know, some nights when I close my eyes, I see the battle stretched out before me, like I'm still there... Do the men you've killed haunt you? Mine do...”
If at Fort Kastav: ""Hey there! Can you believe this place? So cold my breath turns to icicles! Guess Tullius wants to make sure everything's locked down before launching a serious campaign for Eastmarch. Anyway, I'm glad you're here. We're outnumbered again, but if we work together, we can pull this off.”",/wiki/Hadvar,Hadvar,MaleUniqueHadvar,Nord,Male,Human,02BFA2,02BF9F,Bethesda,en,Shawn - done
